date,state,total
15/4/2019,Johor,0
16/4/2019,Johor,12
17/4/2019,Johor,18
18/4/2019,Johor,17
19/4/2019,Johor,5
20/4/2019,Johor,3
21/4/2019,Johor,18
22/4/2019,Johor,21
23/4/2019,Johor,19
24/4/2019,Johor,15
25/4/2019,Johor,18
26/4/2019,Johor,6
27/4/2019,Johor,10
28/4/2019,Johor,16
29/4/2019,Johor,18
30/4/2019,Johor,21
1/5/2019,Johor,1
2/5/2019,Johor,16
3/5/2019,Johor,7
4/5/2019,Johor,8
5/5/2019,Johor,4
6/5/2019,Johor,6
7/5/2019,Johor,26
8/5/2019,Johor,15
9/5/2019,Johor,22
10/5/2019,Johor,8
11/5/2019,Johor,7
12/5/2019,Johor,14
13/5/2019,Johor,32
14/5/2019,Johor,39
15/5/2019,Johor,29
16/5/2019,Johor,22
17/5/2019,Johor,19
18/5/2019,Johor,3
19/5/2019,Johor,4
20/5/2019,Johor,33
21/5/2019,Johor,24
22/5/2019,Johor,23
23/5/2019,Johor,16
24/5/2019,Johor,19
25/5/2019,Johor,11
26/5/2019,Johor,8
27/5/2019,Johor,14
28/5/2019,Johor,18
29/5/2019,Johor,14
30/5/2019,Johor,15
31/5/2019,Johor,7
1/6/2019,Johor,5
2/6/2019,Johor,14
3/6/2019,Johor,7
4/6/2019,Johor,8
5/6/2019,Johor,0
6/6/2019,Johor,2
7/6/2019,Johor,3
8/6/2019,Johor,6
9/6/2019,Johor,2
10/6/2019,Johor,24
11/6/2019,Johor,12
12/6/2019,Johor,21
13/6/2019,Johor,30
14/6/2019,Johor,7
15/6/2019,Johor,14
16/6/2019,Johor,9
17/6/2019,Johor,22
18/6/2019,Johor,30
19/6/2019,Johor,35
20/6/2019,Johor,22
21/6/2019,Johor,10
22/6/2019,Johor,5
23/6/2019,Johor,4
24/6/2019,Johor,23
25/6/2019,Johor,22
26/6/2019,Johor,33
27/6/2019,Johor,36
28/6/2019,Johor,32
29/6/2019,Johor,7
30/6/2019,Johor,12
1/7/2019,Johor,29
2/7/2019,Johor,29
3/7/2019,Johor,34
4/7/2019,Johor,20
5/7/2019,Johor,15
6/7/2019,Johor,7
7/7/2019,Johor,29
8/7/2019,Johor,54
9/7/2019,Johor,35
10/7/2019,Johor,35
11/7/2019,Johor,39
12/7/2019,Johor,21
13/7/2019,Johor,5
14/7/2019,Johor,11
15/7/2019,Johor,21
16/7/2019,Johor,33
17/7/2019,Johor,34
18/7/2019,Johor,26
19/7/2019,Johor,20
20/7/2019,Johor,8
21/7/2019,Johor,16
22/7/2019,Johor,39
23/7/2019,Johor,37
24/7/2019,Johor,38
25/7/2019,Johor,24
26/7/2019,Johor,18
27/7/2019,Johor,8
28/7/2019,Johor,28
29/7/2019,Johor,37
30/7/2019,Johor,23
31/7/2019,Johor,50
1/8/2019,Johor,31
2/8/2019,Johor,13
3/8/2019,Johor,11
4/8/2019,Johor,30
5/8/2019,Johor,45
6/8/2019,Johor,61
7/8/2019,Johor,45
8/8/2019,Johor,36
9/8/2019,Johor,31
10/8/2019,Johor,12
11/8/2019,Johor,5
12/8/2019,Johor,20
13/8/2019,Johor,47
14/8/2019,Johor,172
15/8/2019,Johor,56
16/8/2019,Johor,23
17/8/2019,Johor,12
18/8/2019,Johor,29
19/8/2019,Johor,61
